Participant,block,trial,stim,stim group,RT,Acuracy,stim position,mask side,response
9,1,63,folder/matchedM001.png,2,2.98999209,1,3,1,3
9,1,64,folder/matchedM072.png,2,1.580925627,1,3,1,3
9,1,65,folder/matchedM003.png,2,2.031742759,1,2,1,2
9,1,66,folder/matchedM019.png,1,1.932335174,1,2,2,2
9,1,67,folder/matchedM021SL.png,6,3.041710027,1,2,1,2
9,1,68,folder/matchedM016.png,1,2.101129387,1,2,2,2
9,1,69,folder/matchedM005IN.png,3,1.253420889,1,1,2,1
9,1,70,folder/matchedM016IN.png,4,2.401825226,1,3,1,3
9,1,71,folder/matchedM072IN.png,3,1.423330755,1,3,2,3
9,1,72,folder/matchedM003IN.png,4,8.301540667,1,3,1,3
9,1,73,folder/matchedM067.png,1,1.329803789,1,2,2,2
9,1,74,folder/matchedM004IN.png,4,2.890636252,1,2,1,2
9,1,75,folder/matchedM017.png,2,1.591713226,1,2,1,2
9,1,76,folder/matchedM020IN.png,4,2.51224283,1,4,1,4
9,1,77,folder/matchedM049.png,1,1.431891341,1,3,2,3
9,1,78,folder/matchedM004SL.png,6,2.87229315,1,1,1,1
9,1,79,folder/matchedM019IN.png,4,4.23280616,1,3,1,3
9,1,80,folder/matchedM002IN.png,3,1.490899681,1,3,2,3
9,1,81,folder/matchedM016SL.png,5,2.281678827,1,4,2,4
9,1,82,folder/matchedM002.png,2,1.231367284,1,4,1,4
9,1,83,folder/matchedM008.png,2,1.46141246,1,2,1,2
9,1,84,folder/matchedM017SR.png,6,5.607789389,1,4,1,4
9,1,85,folder/matchedM006IN.png,4,4.080951668,1,3,1,3
9,1,86,folder/matchedM005IN.png,4,3.391734047,1,3,1,3
9,1,87,folder/matchedM021IN.png,3,1.361809015,1,2,2,2
9,1,88,folder/matchedM024IN.png,3,1.680563691,1,1,2,1
9,1,89,folder/matchedM005.png,2,1.9976773,1,4,1,4
9,1,90,folder/matchedM021.png,2,1.590084588,1,1,1,1
9,1,91,folder/matchedM024SR.png,5,2.242154305,1,3,2,3
9,1,92,folder/matchedM024IN.png,4,1.965386802,1,2,1,2
9,1,93,folder/matchedM020.png,2,2.457247028,1,4,1,4
9,1,94,folder/matchedM019SL.png,6,9.224172854,1,1,1,1
9,1,95,folder/matchedM002SL.png,6,2.100802194,1,3,1,3
9,1,96,folder/matchedM004SL.png,5,3.822616563,1,1,2,1
12,1,1,folder/matchedM001IN.png,3,2.195613342,1,4,2,4
12,1,2,folder/matchedM008IN.png,4,1.299977364,1,2,1,2
12,1,3,folder/matchedM067.png,1,1.462248441,1,4,2,4
12,1,4,folder/matchedM016.png,2,1.142606796,1,2,1,2
12,1,5,folder/matchedM072SL.png,5,1.383099518,1,4,2,4
12,1,6,folder/matchedM017SR.png,6,1.39234288,1,2,1,2
12,1,7,folder/matchedM049SL.png,5,2.085648615,1,4,2,4
12,1,8,folder/matchedM008.png,2,1.332679037,1,4,1,4
12,1,9,folder/matchedM005.png,1,1.151350919,1,3,2,3
12,1,10,folder/matchedM020SR.png,5,1.292078167,1,1,2,1
12,1,11,folder/matchedM067SR.png,6,1.180654867,1,2,1,2
12,1,12,folder/matchedM002.png,2,1.081281911,1,1,1,1
12,1,13,folder/matchedM003.png,1,1.511678298,1,4,2,4
12,1,14,folder/matchedM024.png,1,1.04396121,1,1,2,1
12,1,15,folder/matchedM004.png,2,1.188777308,1,2,1,2
12,1,16,folder/matchedM008.png,1,1.899323982,1,4,2,4
12,1,17,folder/matchedM016SL.png,6,1.070304251,1,2,1,2
12,1,18,folder/matchedM024SR.png,5,2.811946188,1,3,2,3
12,1,19,folder/matchedM067IN.png,4,1.281712591,1,3,1,3
12,1,20,folder/matchedM003IN.png,4,1.721194296,1,1,1,1
12,1,21,folder/matchedM001SR.png,5,1.841630011,1,2,2,2
12,1,22,folder/matchedM005SR.png,5,1.191097119,1,1,2,1
12,1,23,folder/matchedM067SR.png,5,1.570909485,1,3,2,3
12,1,24,folder/matchedM003SR.png,5,3.000589095,1,3,2,3
12,1,25,folder/matchedM001IN.png,4,1.571308953,1,3,1,3
12,1,26,folder/matchedM020.png,1,1.791074922,1,3,2,3
12,1,27,folder/matchedM017IN.png,3,1.876953216,0,4,2,1
12,1,28,folder/matchedM019.png,1,1.295106419,1,1,2,1
12,1,29,folder/matchedM006IN.png,3,1.53425033,1,1,2,1
12,1,30,folder/matchedM004SL.png,5,1.8894396,1,2,2,2
12,1,31,folder/matchedM020IN.png,4,1.310406406,1,1,1,1
12,1,32,folder/matchedM002SL.png,6,1.331142441,1,1,1,1
12,1,33,folder/matchedM049IN.png,3,1.369419909,1,1,2,1
12,1,34,folder/matchedM001SR.png,6,1.090794151,1,2,1,2
12,1,35,folder/matchedM019SL.png,5,1.104562072,1,2,2,2
12,1,36,folder/matchedM020.png,2,1.289783299,1,4,1,4
12,1,37,folder/matchedM006IN.png,4,2.270988869,1,1,1,1
12,1,38,folder/matchedM004IN.png,4,1.279765944,1,1,1,1
12,1,39,folder/matchedM001.png,1,1.530409212,1,4,2,4
12,1,40,folder/matchedM016IN.png,4,1.045826489,1,2,1,2
12,1,41,folder/matchedM049.png,1,1.369986219,1,2,2,2
12,1,42,folder/matchedM019IN.png,4,1.480655529,1,1,1,1
12,1,43,folder/matchedM021IN.png,4,1.196599001,1,2,1,2
12,1,44,folder/matchedM008SR.png,5,2.080204958,0,1,2,4
12,1,45,folder/matchedM002.png,1,0.990093135,1,2,2,2
12,1,46,folder/matchedM024.png,2,1.021629838,1,1,1,1
12,1,47,folder/matchedM072IN.png,4,1.270774386,1,4,1,4
12,1,48,folder/matchedM006SL.png,6,1.90257262,1,2,1,2
12,1,49,folder/matchedM020SR.png,6,1.701921948,1,1,1,1
12,1,50,folder/matchedM072.png,2,1.760434829,1,4,1,4
12,1,51,folder/matchedM021SL.png,6,1.81744997,1,3,1,3
12,1,52,folder/matchedM004IN.png,3,2.020707547,1,1,2,1
12,1,53,folder/matchedM049IN.png,4,1.790609849,1,2,1,2
12,1,54,folder/matchedM017IN.png,4,1.619991489,1,3,1,3
12,1,55,folder/matchedM001.png,2,1.350155869,1,2,1,2
12,1,56,folder/matchedM016SL.png,5,2.380411135,1,3,2,3
12,1,57,folder/matchedM072IN.png,3,2.229874543,1,2,2,2
12,1,58,folder/matchedM008SR.png,6,1.419826135,1,2,1,2
12,1,59,folder/matchedM006.png,1,1.850456841,1,3,2,3
12,1,60,folder/matchedM004.png,1,1.570743162,1,3,2,3
12,1,61,folder/matchedM049.png,2,1.617888174,1,1,1,1
12,1,62,folder/matchedM049SL.png,6,1.548372994,1,3,1,3
12,1,63,folder/matchedM016.png,1,1.538931471,1,4,2,4
12,1,64,folder/matchedM017.png,2,1.114961155,1,2,1,2
12,1,65,folder/matchedM021.png,2,1.38002007,1,4,1,4
12,1,66,folder/matchedM003.png,2,1.429934132,1,3,1,3
12,1,67,folder/matchedM004SL.png,6,1.699879669,1,3,1,3
12,1,68,folder/matchedM024SR.png,6,1.509980687,1,4,1,4
12,1,69,folder/matchedM021.png,1,1.678747095,1,4,2,4
12,1,70,folder/matchedM005SR.png,6,1.330187347,1,1,1,1
12,1,71,folder/matchedM019SL.png,6,1.600029967,1,3,1,3
12,1,72,folder/matchedM005IN.png,3,3.067396999,1,2,2,2
12,1,73,folder/matchedM008IN.png,3,1.516432262,1,1,2,1
12,1,74,folder/matchedM016IN.png,3,1.600372492,1,3,2,3
12,1,75,folder/matchedM002IN.png,4,1.610292881,1,3,1,3
12,1,76,folder/matchedM002IN.png,3,1.251242204,1,4,2,4
12,1,77,folder/matchedM024IN.png,4,1.23938616,1,3,1,3
12,1,78,folder/matchedM017SR.png,5,2.212536165,1,3,2,3
12,1,79,folder/matchedM005.png,2,1.762815373,1,3,1,3
12,1,80,folder/matchedM002SL.png,5,2.42627249,1,3,2,3
12,1,81,folder/matchedM021SL.png,5,2.580950075,1,3,2,3
12,1,82,folder/matchedM024IN.png,3,2.580789384,1,3,2,3
12,1,83,folder/matchedM006.png,2,0.969101586,0,2,1,3
12,1,84,folder/matchedM005IN.png,4,1.759683508,1,1,1,1
12,1,85,folder/matchedM067.png,2,1.845793534,1,3,1,3
12,1,86,folder/matchedM003IN.png,3,2.655779078,1,1,2,1
12,1,87,folder/matchedM072SL.png,6,1.230395941,1,2,1,2
12,1,88,folder/matchedM017.png,1,1.319229675,1,2,2,2
12,1,89,folder/matchedM019IN.png,3,1.510235706,1,2,2,2
12,1,90,folder/matchedM019.png,2,1.250119084,1,2,1,2
12,1,91,folder/matchedM006SL.png,5,1.530052958,1,4,2,4
12,1,92,folder/matchedM067IN.png,3,1.730418316,1,3,2,3
12,1,93,folder/matchedM072.png,1,1.580314737,1,3,2,3
12,1,94,folder/matchedM020IN.png,3,1.129715801,1,2,2,2
12,1,95,folder/matchedM003SR.png,6,1.551335036,1,2,1,2
12,1,96,folder/matchedM021IN.png,3,1.700367852,1,4,2,4
13,1,1,folder/matchedM021IN.png,4,9.067069014,1,2,1,2
13,1,2,folder/matchedM067.png,2,7.039344887,1,4,1,4
13,1,3,folder/matchedM005SR.png,6,2.791440885,1,2,1,2
13,1,4,folder/matchedM001SR.png,5,3.882540464,1,2,2,2
13,1,5,folder/matchedM019SL.png,6,10.00253793,-1,4,1,0
13,1,6,folder/matchedM024.png,2,2.021892438,1,3,1,3
13,1,7,folder/matchedM021SL.png,6,5.978906409,1,3,1,3
13,1,8,folder/matchedM049.png,2,2.230573769,1,2,1,2
13,1,9,folder/matchedM003SR.png,5,4.021732623,1,1,2,1
13,1,10,folder/matchedM021.png,2,5.102886613,1,1,1,1
13,1,11,folder/matchedM016.png,1,3.020854117,1,3,2,3
13,1,12,folder/matchedM005SR.png,5,1.800864357,1,2,2,2
13,1,13,folder/matchedM019.png,2,2.030761951,1,2,1,2
13,1,14,folder/matchedM002IN.png,4,2.611414157,1,1,1,1
13,1,15,folder/matchedM024SR.png,5,1.770433425,1,4,2,4
13,1,16,folder/matchedM072SL.png,6,10.00364752,-1,1,1,0
13,1,17,folder/matchedM016IN.png,3,2.809123758,1,2,2,2
13,1,18,folder/matchedM003SR.png,6,4.991489422,1,2,1,2
13,1,19,folder/matchedM008IN.png,3,2.250338033,1,2,2,2
13,1,20,folder/matchedM020IN.png,3,1.410540198,1,4,2,4
13,1,21,folder/matchedM004.png,2,1.770833464,1,4,1,4
13,1,22,folder/matchedM004IN.png,3,1.519252031,1,3,2,3
13,1,23,folder/matchedM049IN.png,3,0.999998243,1,1,2,1
13,1,24,folder/matchedM017SR.png,5,1.346001354,1,4,2,4
13,1,25,folder/matchedM008.png,1,1.680241732,1,4,2,4
13,1,26,folder/matchedM019.png,1,1.558986666,1,2,2,2
13,1,27,folder/matchedM017IN.png,4,5.200877337,1,2,1,2
13,1,28,folder/matchedM021SL.png,5,1.878202967,1,1,2,1
